Model,0,1,2,3,4,5,6,7
LogisticRegression,0.932516224077359,0.8982422457827273,0.9222214160215858,0.7575798100499743,0.7981327826415187,0.7571612774407434,0.864544544643435,0.8625636020106773
SGDClassifier,0.925841604947165,0.8931640102179277,0.8900529665310006,0.7255175983436853,0.7377962372421422,0.7377886849607551,0.8243026316919708,0.829008567275436
PassiveAggressiveClassifier,0.9169531124334037,0.8936690665421458,0.9078825995807127,0.729815311112198,0.784969216802639,0.7176410985863743,0.8493078764121949,0.8516234850801492
Perceptron,0.9139499739490059,0.890005468160096,0.8762136996723194,0.7235536522223935,0.748733083822257,0.7136715365614406,0.8190826691646171,0.8366142217483729
CalibratedClassifierCV,0.9138106495500683,0.9060844812232659,0.9113968800204715,0.7541062757085362,0.746046351648733,0.7481574493788828,0.8313808307528486,0.8310151234519424
LinearSVC,0.9134779753066276,0.8837916316362072,0.9152055975689481,0.7113730548866902,0.749399248174632,0.714347245027929,0.8431120012257395,0.8398540128546832
SVC,0.9132713596091271,0.907833818573787,0.9060684022944707,0.7989173602585135,0.7282174855419359,0.787780922464491,0.8315416393317587,0.8346501389277388
XGBClassifier,0.8772436155746887,0.865535011325836,0.8220109037334711,0.7172523570831842,0.5930255851387672,0.7099617188965309,0.7296014797526762,0.741305789321759
LGBMClassifier,0.8724842693501778,0.8644579559562272,0.8176211548051198,0.7126361113923683,0.571942173276169,0.7028169693535393,0.7010962873020233,0.7074727325207999
RidgeClassifierCV,0.8580448831782,0.8206368289851099,0.8192335576363432,0.6312882165777489,0.6209261468996878,0.6442134883764912,0.731099110467045,0.7242608418177796
LinearDiscriminantAnalysis,0.8498603641919862,0.792544947280559,0.8449221595655974,0.6186913785226626,0.6625944749920991,0.5921634123454298,0.7416385485246233,0.7605808891130311
RidgeClassifier,0.8478573456813472,0.74092248828284,0.8079054838173156,0.5462805914257511,0.61364000778852,0.5620533474638573,0.7256405614629312,0.7163210514753761
RandomForestClassifier,0.8156077982232219,0.8179775595677459,0.6610059398036263,0.6155249810600829,0.37999247334042924,0.5838247202911081,0.5150246120842966,0.5127645981331014
NearestCentroid,0.8053823102506185,0.7613330855479699,0.780808049795663,0.5711602807339398,0.6363038793727004,0.5641063132625159,0.6513361016720932,0.6468728393400187
ExtraTreesClassifier,0.7978863887767584,0.8294968039390268,0.6583194581948414,0.6062079975185409,0.33383322181078134,0.5699374159313508,0.5458935915183286,0.5159876678904276
BernoulliNB,0.7918215190358175,0.7471917740686121,0.7614084080575217,0.5717195321667018,0.6123254964512864,0.5457228808414848,0.6291147755685808,0.6347672395461976
GaussianNB,0.7422894062082326,0.7153814068231246,0.7482947733447978,0.5260494721664696,0.512353400715945,0.48409759043635986,0.5641731523049123,0.5743843008319554
KNeighborsClassifier,0.7133072078152514,0.802601812247034,0.7914098623651237,0.7525488830249953,0.3255883932139796,0.7551416435858561,0.6925355978908015,0.6960372447146751
BaggingClassifier,0.6916313249420578,0.6820127747448609,0.5287007075323451,0.5092925182076126,0.3533624523225659,0.5073748209509166,0.45261336076133657,0.47682492364392715
DecisionTreeClassifier,0.5889795854553069,0.5730150847561519,0.4446888435732249,0.3916670252860591,0.3023531966473062,0.3805914720861136,0.4181309458698063,0.3516260861081776
ExtraTreeClassifier,0.4313433542100468,0.4895363432642249,0.36718435804753485,0.3761366828547044,0.25166254227142193,0.36628586226304216,0.305683471898731,0.3287107490573572
AdaBoostClassifier,0.3958667877223544,0.552972970398691,0.5004904739519345,0.4892962534580131,0.3899043128875078,0.41119305334398853,0.44935983544585667,0.46099847304442393
DummyClassifier,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
LabelPropagation,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
LabelSpreading,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017,0.09825378346915017
