Model,0
SGDClassifier,0.5469517435481803
XGBClassifier,0.5239089838322982
PassiveAggressiveClassifier,0.5142744329477267
LogisticRegression,0.5124787124091974
LGBMClassifier,0.5000939184143053
LinearSVC,0.4955394683082762
NearestCentroid,0.48880568110654565
BernoulliNB,0.4839960776320045
Perceptron,0.4812309546464464
LinearDiscriminantAnalysis,0.45744641558600396
GaussianNB,0.4268909513487499
RidgeClassifierCV,0.42497342071592675
RidgeClassifier,0.4142950094135945
RandomForestClassifier,0.39766868817439194
ExtraTreesClassifier,0.3914332997742702
CalibratedClassifierCV,0.3863477901537173
BaggingClassifier,0.3807344248336793
KNeighborsClassifier,0.3697885468073238
AdaBoostClassifier,0.317333984914595
DecisionTreeClassifier,0.29629069189303414
ExtraTreeClassifier,0.24721206197915088
DummyClassifier,0.05652454780361757
LabelPropagation,0.040266106442577033
LabelSpreading,0.040266106442577033
